C. Demografía y Población
Migraciones
Cambios de domicilio
5.2.1. Cambios de domicilio entre Distritos
;;2018;2019
20. San Blas-Canillejas;01. Centro;1;147
20. San Blas-Canillejas;02. Arganzuela;0;91
20. San Blas-Canillejas;03. Retiro;0;85
20. San Blas-Canillejas;04. Salamanca;0;119
20. San Blas-Canillejas;05. Chamartín;0;149
20. San Blas-Canillejas;06. Tetuán;1;189
20. San Blas-Canillejas;07. Chamberí;0;67
20. San Blas-Canillejas;08. Fuencarral-El Pardo;0;185
20. San Blas-Canillejas;09. Moncloa-Aravaca;0;94
20. San Blas-Canillejas;10. Latina;0;171
20. San Blas-Canillejas;11. Carabanchel;0;286
20. San Blas-Canillejas;12. Usera;0;124
20. San Blas-Canillejas;13. Puente de Vallecas;1;379
20. San Blas-Canillejas;14. Moratalaz;1;189
20. San Blas-Canillejas;15. Ciudad Lineal;0;1.157
20. San Blas-Canillejas;16. Hortaleza;0;432
20. San Blas-Canillejas;17. Villaverde;0;190
20. San Blas-Canillejas;18. Villa de Vallecas;0;263
20. San Blas-Canillejas;19. Vicálvaro;1;374
20. San Blas-Canillejas;20. San Blas-Canillejas;0;4.374
20. San Blas-Canillejas;21. Barajas;0;280
21. Barajas;Ciudad de Madrid;503;2.568
21. Barajas;01. Centro;16;52
21. Barajas;02. Arganzuela;3;32
21. Barajas;03. Retiro;5;16
21. Barajas;04. Salamanca;16;41
21. Barajas;05. Chamartín;9;41
21. Barajas;06. Tetuán;11;43
21. Barajas;07. Chamberí;15;25
21. Barajas;08. Fuencarral-El Pardo;2;72
21. Barajas;09. Moncloa-Aravaca;2;35
21. Barajas;10. Latina;4;26
21. Barajas;11. Carabanchel;11;45
21. Barajas;12. Usera;2;13
21. Barajas;13. Puente de Vallecas;8;44
21. Barajas;14. Moratalaz;8;12
21. Barajas;15. Ciudad Lineal;94;99
21. Barajas;16. Hortaleza;58;192
21. Barajas;17. Villaverde;3;24
21. Barajas;18. Villa de Vallecas;11;30
21. Barajas;19. Vicálvaro;0;18
21. Barajas;20. San Blas-Canillejas;191;167
21. Barajas;21. Barajas;34;1.541
;
;
Fuente: Ayuntamiento de Madrid. Subdirección General de Estadística. Padrón Municipal de Habitantes
Observaciones: El año 1997 recoge los datos desde el 01.05.1996 al 31.12.1997
